day,python,snake
2020-01-09,75,56
2020-01-10,70,64
2020-01-11,40,28
2020-01-12,40,28
2020-01-13,71,51
2020-01-14,75,54
2020-01-15,73,61
2020-01-16,77,69
2020-01-17,72,90
2020-01-18,43,33
2020-01-19,42,32
2020-01-20,71,38
2020-01-21,81,80
2020-01-22,100,87
2020-01-23,88,90
2020-01-24,75,97
2020-01-25,44,37
2020-01-26,42,34
2020-01-27,73,70
2020-01-28,79,79
2020-01-29,78,79
2020-01-30,78,86
2020-01-31,70,85
2020-02-01,43,34
2020-02-02,44,32
2020-02-03,75,62
2020-02-04,81,72
2020-02-05,80,69
2020-02-06,81,71
2020-02-07,75,73
2020-02-08,42,33
2020-02-09,45,31
2020-02-10,77,61
2020-02-11,81,65
2020-02-12,85,69
2020-02-13,86,71
2020-02-14,77,62
2020-02-15,46,31
2020-02-16,47,32
2020-02-17,77,36
2020-02-18,85,54
2020-02-19,85,58
2020-02-20,88,61
2020-02-21,77,62
2020-02-22,47,34
2020-02-23,46,34
2020-02-24,79,55
2020-02-25,85,60
2020-02-26,83,56
2020-02-27,82,59
2020-02-28,76,60
2020-02-29,46,32
2020-03-01,46,31
2020-03-02,79,53
2020-03-03,83,55
2020-03-04,84,54
2020-03-05,84,59
2020-03-06,78,61
2020-03-07,45,31
2020-03-08,45,30
2020-03-09,74,50
2020-03-10,78,51
2020-03-11,78,52
2020-03-12,75,52
2020-03-13,65,50
2020-03-14,44,31
2020-03-15,44,30
2020-03-16,63,31
2020-03-17,66,30
2020-03-18,68,32
2020-03-19,68,33
2020-03-20,59,34
2020-03-21,45,31
2020-03-22,47,30
2020-03-23,63,30
2020-03-24,68,31
2020-03-25,68,34
2020-03-26,69,35
2020-03-27,68,38
2020-03-28,51,51
2020-03-29,55,53
2020-03-30,72,45
2020-03-31,72,40
2020-04-01,74,38
2020-04-02,73,36
2020-04-03,70,36
2020-04-04,52,36
2020-04-05,55,35
2020-04-06,71,35
