Day,python: (Worldwide),snake: (Worldwide)
2020-03-24,89,39
2020-03-25,87,42
2020-03-26,91,44
2020-03-27,85,50
2020-03-28,65,64
2020-03-29,70,67
2020-03-30,91,56
2020-03-31,91,51
2020-04-01,92,48
2020-04-02,94,45
2020-04-03,90,46
2020-04-04,67,45
2020-04-05,68,46
2020-04-06,91,46
2020-04-07,94,44
2020-04-08,94,47
2020-04-09,95,46
2020-04-10,87,44
2020-04-11,72,44
2020-04-12,71,46
2020-04-13,90,43
2020-04-14,96,45
2020-04-15,97,44
2020-04-16,100,43
2020-04-17,93,46
2020-04-18,71,44
2020-04-19,74,45
2020-04-20,94,44
2020-04-21,98,45
2020-04-22,98,49
2020-04-23,97,46
2020-04-24,93,48
2020-04-25,70,47
2020-04-26,76,47
2020-04-27,96,48
2020-04-28,98,47
2020-04-29,96,49
2020-04-30,93,47
2020-05-01,82,47
2020-05-02,72,48
2020-05-03,72,51
2020-05-04,90,49
2020-05-05,93,47
2020-05-06,94,46
2020-05-07,96,48
2020-05-08,92,54
2020-05-09,71,48
2020-05-10,71,45
2020-05-11,96,46
2020-05-12,100,47
2020-05-13,99,47
2020-05-14,96,48
2020-05-15,92,49
2020-05-16,67,48
2020-05-17,68,52
2020-05-18,95,48
2020-05-19,98,49
2020-05-20,95,48
2020-05-21,92,48
2020-05-22,87,48
2020-05-23,66,50
2020-05-24,66,54
2020-05-25,87,52
2020-05-26,92,51
2020-05-27,97,49
2020-05-28,94,50
2020-05-29,88,50
2020-05-30,61,47
2020-05-31,65,45
2020-06-01,84,43
2020-06-02,92,43
2020-06-03,92,45
2020-06-04,93,48
2020-06-05,88,46
2020-06-06,63,52
2020-06-07,65,51
2020-06-08,91,45
2020-06-09,94,45
2020-06-10,95,45
2020-06-11,93,46
2020-06-12,90,45
2020-06-13,62,45
2020-06-14,64,47
2020-06-15,91,43
2020-06-16,95,42
2020-06-17,98,43
2020-06-18,94,44
2020-06-19,87,42
2020-06-20,59,43
2020-06-21,60,45
